+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-03-28 22:00:00 | 2019-04-08 13:30:00 |
+--------------+---------------------+---------------------+
+--------+-------------+--------------+---------------+
| ident  | xref_id     | pending_time | reaction_time |
| 320794 | jira-58006  |       13.110 |         0.160 |
| 337026 | jira-61186  |     1846.748 |         0.161 |
| 337177 | jira-61857  |     3021.200 |         0.161 |
| 337282 | jira-61747  |     7879.395 |         0.161 |
| 357917 | jira-64832  |     1705.803 |         0.161 |
| 331005 | jira-59510  |     4424.991 |         0.161 |
| 334058 | jira-61894  |    26485.560 |         0.161 |
| 350577 | jira-58609  |    22512.870 |         0.161 |
| 350594 | jira-58609  |    22676.450 |         0.161 |
| 350597 | jira-58605  |    22676.546 |         0.161 |
| 350619 | jira-58606  |    26870.915 |         0.161 |
| 353491 | jira-60682  |      219.276 |         0.161 |
| 328168 | jira-58847  |      725.252 |         0.161 |
| 332732 | jira-60632  |   777114.418 |         0.162 |
| 332751 | jira-60647  |   777303.621 |         0.162 |
| 333541 | jira-61381  |    18418.229 |         0.162 |
| 337095 | jira-61729  |     2418.428 |         0.162 |
| 350564 | jira-58605  |    22416.384 |         0.162 |
| 350612 | jira-58608  |    22801.120 |         0.163 |
| 330972 | jira-59478  |     4137.159 |         0.163 |
| 332872 | jira-60772  |   778268.085 |         0.163 |
| 334633 | jira-62435  |    21903.415 |         0.163 |
| 336985 | jira-61563  |     1574.441 |         0.163 |
| 337127 | jira-61921  |     2678.295 |         0.163 |
| 337224 | jira-61751  |     3401.247 |         0.163 |
| 337394 | jira-61104  |     8723.736 |         0.164 |
| 349729 | jira-51634  |    19210.330 |         0.164 |
| 350606 | jira-64305  |    22772.869 |         0.164 |
| 332591 | jira-60491  |   776022.999 |         0.164 |
| 332810 | jira-60709  |   777720.729 |         0.164 |
| 332924 | jira-60820  |   778617.520 |         0.164 |
| 332737 | jira-60633  |   777141.359 |         0.165 |
| 333213 | jira-61052  |    11825.536 |         0.165 |
| 337186 | jira-61327  |     3114.973 |         0.165 |
| 337272 | jira-61888  |     7784.167 |         0.165 |
| 337424 | jira-61052  |     8982.944 |         0.165 |
| 328100 | jira-58817  |      148.847 |         0.165 |
| 350614 | jira-64302  |    22801.445 |         0.165 |
| 350578 | jira-64307  |    22513.061 |         0.166 |
| 337285 | jira-61076  |     7879.906 |         0.166 |
| 331569 | jira-59767  |     8848.321 |         0.166 |
| 332865 | jira-60764  |   778199.274 |         0.166 |
| 333748 | jira-61584  |    20022.105 |         0.166 |
| 334054 | jira-61890  |    26417.041 |         0.166 |
| 328116 | jira-58824  |      310.637 |         0.166 |
| 328158 | jira-58841  |      629.598 |         0.166 |
| 328176 | jira-58851  |      793.559 |         0.166 |
