+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 18:30:00 | 2019-04-02 19:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 29877 | caagc-46608 |        0.009 |         0.542 |
| 30169 | caagc-51532 |        0.010 |         0.542 |
| 30200 | caagc-51515 |        0.010 |         0.542 |
| 30134 | caagc-46048 |        0.009 |         0.543 |
| 30143 | caagc-51480 |        0.010 |         0.543 |
| 29845 | caagc-46574 |        0.008 |         0.545 |
| 29903 | caagc-46622 |        0.009 |         0.545 |
| 29853 | caagc-46589 |        0.008 |         0.546 |
| 30009 | caagc-46599 |        0.010 |         0.546 |
| 30159 | caagc-51534 |        0.010 |         0.546 |
| 29821 | caagc-46577 |        0.010 |         0.547 |
| 29833 | caagc-46614 |        0.008 |         0.547 |
| 29831 | caagc-46623 |        0.009 |         0.548 |
| 29879 | caagc-46614 |        0.009 |         0.548 |
| 29904 | caagc-46594 |        0.008 |         0.549 |
| 30204 | caagc-51504 |        0.011 |         0.549 |
| 30216 | caagc-51483 |        0.014 |         0.549 |
| 29867 | caagc-46625 |        0.034 |         0.550 |
| 30157 | caagc-51537 |        0.007 |         0.551 |
| 29900 | caagc-46579 |        0.009 |         0.552 |
| 30014 | caagc-46575 |        0.009 |         0.555 |
| 29550 | caagc-46105 |        0.009 |         0.558 |
| 29727 | caagc-45245 |        0.009 |         0.562 |
| 29553 | caagc-46779 |        0.009 |         0.563 |
| 30020 | caagc-46626 |        0.009 |         0.563 |
| 29908 | caagc-46603 |        0.010 |         0.564 |
| 30140 | caagc-46066 |        0.009 |         0.564 |
| 29552 | caagc-45565 |        0.009 |         0.566 |
| 29889 | caagc-46601 |        0.036 |         0.566 |
| 29569 | caagc-45347 |        0.009 |         0.567 |
| 29993 | caagc-46624 |        0.010 |         0.567 |
| 29843 | caagc-46592 |        0.009 |         0.568 |
| 29854 | caagc-46591 |        0.009 |         0.568 |
| 30087 | caagc-51498 |        0.007 |         0.568 |
| 29585 | caagc-46116 |        0.010 |         0.569 |
| 29840 | caagc-46601 |        0.009 |         0.569 |
| 30131 | caagc-51475 |        0.035 |         0.569 |
| 29884 | caagc-46609 |        0.010 |         0.571 |
| 29987 | caagc-46578 |        0.010 |         0.571 |
| 29421 | caagc-46759 |        0.008 |         0.575 |
| 30218 | caagc-46096 |        0.008 |         0.575 |
| 29575 | caagc-50678 |        0.010 |         0.576 |
| 29847 | caagc-46616 |        0.012 |         0.576 |
| 29873 | caagc-46617 |        0.009 |         0.576 |
| 29882 | caagc-47104 |        0.009 |         0.576 |
| 29984 | caagc-46583 |        0.010 |         0.577 |
| 29591 | caagc-45592 |        0.010 |         0.578 |
| 29893 | caagc-46611 |        0.009 |         0.578 |
| 30079 | caagc-51487 |        0.010 |         0.579 |
| 30164 | caagc-51538 |        0.010 |         0.579 |
| 29846 | caagc-46588 |        0.009 |         0.582 |
| 29973 | caagc-46598 |        0.010 |         0.583 |
| 29584 | caagc-45683 |        0.007 |         0.584 |
| 29814 | caagc-46615 |        0.007 |         0.585 |
| 29820 | caagc-46594 |        0.009 |         0.585 |
| 29888 | caagc-46600 |        0.013 |         0.585 |
| 30219 | caagc-51513 |        0.010 |         0.585 |
| 30025 | caagc-46617 |        0.010 |         0.586 |
| 29566 | caagc-45787 |        0.010 |         0.587 |
| 29862 | caagc-46583 |        0.055 |         0.587 |
| 29981 | caagc-46594 |        0.009 |         0.587 |
| 30015 | caagc-46612 |        0.010 |         0.587 |
