+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| 0da2031f-91c7-4bb1-beb2-d4d40a1b2547 | caagc-47181 | INSERT        |      3 | 2019-03-22 13:29:31 | Project is required |
| 907a8589-9e09-4b09-9655-12b7ec2d97e7 | caagc-47180 | INSERT        |      3 | 2019-03-22 13:29:03 | Project is required |
| ea53f438-dfb6-44e0-aef0-27c5a9afe4c1 | caagc-47179 | INSERT        |      3 | 2019-03-22 13:28:29 | Project is required |
| 74dc9dd0-81c0-4bec-984e-193cd353cab6 | caagc-47178 | INSERT        |      3 | 2019-03-22 13:27:49 | Project is required |
| 9009bc4d-09d7-47fd-a7cb-2d4d7b04510b | caagc-47177 | INSERT        |      3 | 2019-03-22 13:27:15 | Project is required |
| 77f40051-69e0-4a6d-99cb-ae60c64a1034 | caagc-47176 | INSERT        |      3 | 2019-03-22 13:26:46 | Project is required |
| 405e9292-2279-4e2b-a469-8290cc0a4060 | caagc-47175 | INSERT        |      3 | 2019-03-22 13:26:16 | Project is required |
| 37ead7ac-594b-4683-8150-17da25adedba | caagc-47174 | INSERT        |      3 | 2019-03-22 13:24:01 | Project is required |
| a2f0e09b-dc65-42a1-86c1-ab0d5928ccde | caagc-47173 | INSERT        |      3 | 2019-03-22 13:23:12 | Project is required |
| b7ba45b1-657d-47a5-a8af-57b9433b56a4 | caagc-46914 | INSERT        |      3 | 2019-03-21 23:04:32 | Project is required |
| daf84ed4-4652-4ae9-b53b-5bd47563ea25 | caagc-46913 | INSERT        |      3 | 2019-03-21 23:02:58 | Project is required |
| 8756e6f7-cb5e-41f8-ae17-f2426d9440cc | caagc-46911 | INSERT        |      3 | 2019-03-21 22:47:34 | Project is required |
| 4fb00208-3262-454e-87ab-2ed41e03bfbc | caagc-46910 | INSERT        |      3 | 2019-03-21 22:43:29 | Project is required |
| fe4a35c4-7d11-4c1a-96ef-76c0131a9102 | caagc-46885 | INSERT        |      3 | 2019-03-21 22:09:45 | Project is required |
| 7ed2073d-4d70-4e37-9c8d-d55d3e630272 | caagc-46881 | INSERT        |      3 | 2019-03-21 21:49:05 | Project is required |
| e57312d9-c892-44bb-800c-376f389013dc | caagc-46870 | INSERT        |      3 | 2019-03-21 21:31:47 | Project is required |
| 015b2b6d-9d7f-4a86-99a2-b40b1c65fae9 | caagc-46865 | INSERT        |      3 | 2019-03-21 21:27:47 | Project is required |
| 137eb041-42a1-41e6-a3ef-cbc73f89183e | caagc-46857 | INSERT        |      3 | 2019-03-21 21:22:21 | Project is required |
| 42f7cfb0-983f-49cc-a548-4741e326cba7 | caagc-46856 | INSERT        |      3 | 2019-03-21 21:22:13 | Project is required |
| 613f1a74-dc57-4801-9fed-24ef579694dc | caagc-46853 | INSERT        |      3 | 2019-03-21 21:19:22 | Project is required |
| 34c17439-d5e2-4c0a-8e83-d0c5f728b4f6 | caagc-46841 | INSERT        |      3 | 2019-03-21 20:57:36 | Project is required |
| fc716a9e-3a3c-4be4-99f1-80f5df8f9b8e | caagc-46818 | INSERT        |      3 | 2019-03-21 20:40:54 | Project is required |
