+------------------+---------------+--------+--------------------------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                                               |
| PCDA-249         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-246         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-211         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-3           | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-458         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-236         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-213         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-526         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-4           | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-1           | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-256         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-390         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-453         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-217         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-495         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-456         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-451         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-254         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-223         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-445         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-496         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-250         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-499         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-515         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-397         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-395         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-225         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-514         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-73          | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-446         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-261         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-498         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-229         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-227         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-520         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-239         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-394         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-241         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-522         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-407         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-216         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-519         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-460         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-457         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-178         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-513         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
| PCDA-512         | INSERT        |      3 | reason Project PNC IT Data and Analytics ART not found in Agile Central. |
