+------------------+---------------+--------+------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                           |
| CBC-3494         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3603         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3374         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3375         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3612         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3365         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3565         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3585         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3388         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3497         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3579         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3411         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3416         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3590         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3731         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3593         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3638         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3582         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3581         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3684         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3642         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3742         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-3639         | INSERT        |      3 | reason Project CBC118 not found in Agile Central.    |
| CBC-2197         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2193         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2182         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2172         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
