+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 13:00:00 | 2019-04-02 22:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 29269 | jira-17695  |        0.016 |         0.240 |
| 29440 | caagc-50677 |        0.008 |         0.240 |
| 29223 | jira-17658  |        0.010 |         0.246 |
| 29409 | caagc-50683 |        0.033 |         0.246 |
| 29305 | caagc-46104 |        0.012 |         0.248 |
| 29209 | jira-11949  |        0.012 |         0.249 |
| 29199 | jira-17639  |        0.026 |         0.250 |
| 29320 | jira-17716  |        0.016 |         0.250 |
| 29200 | jira-17640  |        0.056 |         0.251 |
| 29173 | jira-12408  |        0.027 |         0.254 |
| 29263 | jira-17690  |        0.026 |         0.254 |
| 29241 | jira-17676  |        0.036 |         0.255 |
| 29677 | caagc-46003 |        0.008 |         0.260 |
| 29266 | jira-17693  |        0.017 |         0.261 |
| 29250 | jira-17684  |        0.023 |         0.262 |
| 29261 | jira-11930  |        0.015 |         0.263 |
| 29414 | caagc-45907 |        0.029 |         0.265 |
| 29211 | caagc-46779 |        0.014 |         0.267 |
| 29214 | jira-17651  |        0.014 |         0.270 |
| 29310 | jira-11977  |        0.030 |         0.270 |
| 29673 | caagc-46004 |        0.008 |         0.270 |
| 29198 | jira-17641  |        0.018 |         0.273 |
| 29430 | caagc-50676 |        0.008 |         0.275 |
| 29315 | jira-11928  |        0.019 |         0.276 |
| 29410 | caagc-46117 |        0.008 |         0.278 |
| 29544 | caagc-50677 |        0.009 |         0.279 |
| 29245 | jira-17675  |        0.105 |         0.280 |
| 29676 | caagc-46723 |        0.010 |         0.280 |
| 29428 | caagc-45685 |        0.030 |         0.282 |
| 29667 | caagc-45971 |        0.009 |         0.282 |
| 29415 | caagc-46114 |        0.009 |         0.283 |
| 29685 | caagc-46006 |        0.009 |         0.283 |
| 29654 | caagc-46002 |        0.009 |         0.284 |
| 29248 | jira-17677  |        0.048 |         0.291 |
| 29219 | jira-17656  |        0.037 |         0.293 |
| 29221 | caagc-45691 |        0.072 |         0.293 |
| 29663 | caagc-46012 |        0.010 |         0.295 |
| 29651 | caagc-46008 |        0.009 |         0.297 |
| 29295 | caagc-45665 |        0.020 |         0.299 |
| 29634 | caagc-46001 |        0.009 |         0.301 |
| 29238 | jira-17669  |        0.026 |         0.302 |
| 29203 | jira-17643  |        0.028 |         0.304 |
| 29393 | caagc-46791 |        0.010 |         0.304 |
| 29308 | jira-17712  |        0.026 |         0.306 |
| 29231 | jira-17668  |        0.010 |         0.312 |
| 29636 | caagc-45952 |        0.009 |         0.314 |
| 29646 | caagc-45999 |        0.009 |         0.317 |
| 29243 | jira-17680  |        0.023 |         0.326 |
| 29655 | caagc-46000 |        0.008 |         0.326 |
| 29658 | caagc-46010 |        0.032 |         0.330 |
| 29262 | jira-11963  |        0.009 |         0.332 |
| 29632 | caagc-46009 |        0.009 |         0.332 |
| 29246 | jira-17683  |        0.012 |         0.336 |
| 29213 | jira-17650  |        0.031 |         0.339 |
| 29218 | jira-17654  |        0.012 |         0.339 |
| 29242 | jira-17682  |        0.027 |         0.341 |
| 29300 | caagc-45907 |        0.021 |         0.356 |
| 29549 | caagc-45694 |        0.009 |         0.356 |
| 29274 | jira-17696  |        0.090 |         0.362 |
| 29742 | caagc-45246 |        0.008 |         0.364 |
| 29205 | jira-17644  |        0.011 |         0.369 |
| 29696 | caagc-46007 |        0.009 |         0.371 |
| 29237 | jira-17671  |        0.014 |         0.372 |
| 29216 | jira-17653  |        0.009 |         0.375 |
| 29267 | jira-17694  |        0.021 |         0.381 |
| 29426 | caagc-45681 |        0.008 |         0.383 |
| 29439 | caagc-45682 |        0.011 |         0.384 |
| 29236 | caagc-50662 |        0.019 |         0.389 |
| 29201 | jira-11945  |        0.084 |         0.406 |
| 29265 | jira-17691  |        0.135 |         0.406 |
| 30144 | caagc-51511 |        0.010 |         0.409 |
| 29235 | jira-17672  |        0.026 |         0.411 |
| 30141 | caagc-51500 |        0.009 |         0.417 |
| 29284 | jira-11965  |        0.047 |         0.420 |
| 29424 | caagc-45565 |        0.008 |         0.423 |
| 29576 | caagc-45808 |        0.008 |         0.423 |
| 30142 | caagc-51482 |        0.009 |         0.425 |
| 29233 | jira-17670  |        0.057 |         0.426 |
| 30215 | caagc-51477 |        0.010 |         0.427 |
| 29704 | caagc-45998 |        0.009 |         0.434 |
| 30182 | caagc-51485 |        0.007 |         0.437 |
| 30145 | caagc-51476 |        0.007 |         0.438 |
| 30210 | caagc-51506 |        0.012 |         0.438 |
| 29633 | caagc-46011 |        0.008 |         0.439 |
| 30199 | caagc-51508 |        0.011 |         0.439 |
| 30209 | caagc-51474 |        0.010 |         0.440 |
| 30183 | caagc-51473 |        0.010 |         0.441 |
| 30221 | caagc-51484 |        0.011 |         0.441 |
| 30217 | caagc-51482 |        0.010 |         0.442 |
| 30178 | caagc-51476 |        0.007 |         0.444 |
| 30195 | caagc-51505 |        0.010 |         0.446 |
| 30211 | caagc-51481 |        0.010 |         0.453 |
| 30214 | caagc-51495 |        0.010 |         0.454 |
| 30194 | caagc-51493 |        0.011 |         0.456 |
| 30222 | caagc-51475 |        0.010 |         0.456 |
| 30132 | caagc-51493 |        0.007 |         0.457 |
| 30385 | caagc-51547 |        0.007 |         0.461 |
| 30137 | caagc-51497 |        0.010 |         0.462 |
| 30180 | caagc-51514 |        0.010 |         0.463 |
| 30187 | caagc-51492 |        0.011 |         0.464 |
| 30161 | caagc-51544 |        0.010 |         0.466 |
| 30177 | caagc-51497 |        0.012 |         0.466 |
| 30397 | caagc-51549 |        0.008 |         0.473 |
| 30006 | caagc-47104 |        0.012 |         0.475 |
| 30220 | caagc-51507 |        0.008 |         0.476 |
| 30213 | caagc-51471 |        0.010 |         0.479 |
| 30155 | caagc-51546 |        0.010 |         0.481 |
| 30186 | caagc-51509 |        0.010 |         0.482 |
| 30205 | caagc-51489 |        0.010 |         0.482 |
| 30196 | caagc-51498 |        0.007 |         0.484 |
| 29876 | caagc-46577 |        0.014 |         0.485 |
| 29890 | caagc-46621 |        0.009 |         0.485 |
| 30136 | caagc-51498 |        0.007 |         0.487 |
| 30185 | caagc-51470 |        0.007 |         0.491 |
| 30433 | caagc-51537 |        0.011 |         0.491 |
| 30162 | caagc-51545 |        0.010 |         0.492 |
| 30370 | caagc-51528 |        0.011 |         0.492 |
| 29885 | caagc-46580 |        0.009 |         0.493 |
| 30146 | caagc-51509 |        0.010 |         0.493 |
| 29581 | caagc-50662 |        0.009 |         0.494 |
| 30212 | caagc-51503 |        0.010 |         0.495 |
| 30364 | caagc-51526 |        0.011 |         0.495 |
| 30158 | caagc-51540 |        0.010 |         0.496 |
| 30424 | caagc-51546 |        0.012 |         0.496 |
| 30172 | caagc-51541 |        0.022 |         0.498 |
| 30135 | caagc-51507 |        0.018 |         0.499 |
| 29698 | caagc-46005 |        0.009 |         0.500 |
| 29881 | caagc-46582 |        0.012 |         0.500 |
| 30383 | caagc-51518 |        0.018 |         0.501 |
| 30188 | caagc-51491 |        0.010 |         0.503 |
| 30378 | caagc-51541 |        0.010 |         0.503 |
| 30415 | caagc-46601 |        0.010 |         0.503 |
| 29247 | jira-17679  |        0.343 |         0.504 |
| 29989 | caagc-46586 |        0.009 |         0.504 |
| 29204 | jira-17646  |        0.054 |         0.505 |
| 29855 | caagc-46575 |        0.009 |         0.506 |
| 30160 | caagc-51539 |        0.010 |         0.506 |
| 30408 | caagc-51530 |        0.011 |         0.506 |
| 29983 | caagc-46579 |        0.011 |         0.508 |
| 30191 | caagc-51499 |        0.011 |         0.508 |
| 30417 | caagc-51527 |        0.011 |         0.508 |
| 29906 | caagc-46616 |        0.010 |         0.509 |
| 29419 | caagc-45584 |        0.008 |         0.510 |
| 30010 | caagc-46590 |        0.010 |         0.510 |
| 30201 | caagc-51510 |        0.036 |         0.510 |
| 30387 | caagc-51523 |        0.007 |         0.511 |
| 29844 | caagc-46608 |        0.008 |         0.512 |
| 30002 | caagc-46603 |        0.010 |         0.512 |
| 29895 | caagc-46593 |        0.009 |         0.514 |
| 30436 | caagc-51539 |        0.008 |         0.514 |
| 29897 | caagc-46587 |        0.011 |         0.515 |
| 30208 | caagc-51480 |        0.009 |         0.516 |
| 30422 | caagc-51517 |        0.011 |         0.518 |
| 30004 | caagc-46597 |        0.012 |         0.519 |
| 30156 | caagc-51549 |        0.007 |         0.519 |
| 30400 | caagc-46584 |        0.011 |         0.519 |
| 30411 | caagc-51531 |        0.011 |         0.519 |
| 30421 | caagc-46611 |        0.011 |         0.519 |
| 30189 | caagc-51512 |        0.008 |         0.520 |
| 30401 | caagc-46590 |        0.010 |         0.520 |
| 30165 | caagc-51542 |        0.010 |         0.521 |
| 29565 | caagc-51153 |        0.009 |         0.522 |
| 29578 | caagc-46759 |        0.008 |         0.523 |
| 30026 | caagc-46584 |        0.010 |         0.524 |
| 29898 | caagc-46602 |        0.011 |         0.525 |
| 30022 | caagc-46615 |        0.009 |         0.527 |
| 30170 | caagc-51547 |        0.011 |         0.527 |
| 30175 | caagc-51511 |        0.007 |         0.527 |
| 30374 | caagc-51520 |        0.007 |         0.527 |
| 30166 | caagc-51543 |        0.011 |         0.528 |
| 29978 | caagc-46614 |        0.009 |         0.530 |
| 30203 | caagc-51486 |        0.010 |         0.530 |
| 29574 | caagc-50689 |        0.009 |         0.531 |
| 30413 | caagc-46612 |        0.011 |         0.532 |
| 29896 | caagc-46597 |        0.009 |         0.533 |
| 30412 | caagc-46594 |        0.011 |         0.533 |
| 30021 | caagc-46592 |        0.009 |         0.534 |
| 30426 | caagc-51525 |        0.007 |         0.534 |
| 30382 | caagc-51519 |        0.011 |         0.535 |
| 29227 | jira-17665  |        0.112 |         0.536 |
| 29907 | caagc-46584 |        0.009 |         0.536 |
| 30435 | caagc-46614 |        0.011 |         0.536 |
| 29830 | caagc-46611 |        0.010 |         0.538 |
| 29892 | caagc-46620 |        0.010 |         0.538 |
| 30423 | caagc-46620 |        0.008 |         0.538 |
| 29829 | caagc-46582 |        0.009 |         0.539 |
| 29994 | caagc-46576 |        0.014 |         0.539 |
| 29996 | caagc-46616 |        0.009 |         0.539 |
| 30427 | caagc-46593 |        0.010 |         0.539 |
| 29823 | caagc-46590 |        0.008 |         0.540 |
| 29878 | caagc-46624 |        0.009 |         0.540 |
| 30154 | caagc-51531 |        0.010 |         0.540 |
| 30207 | caagc-51478 |        0.012 |         0.540 |
| 29813 | caagc-46612 |        0.009 |         0.541 |
| 30373 | caagc-51532 |        0.011 |         0.541 |
| 29872 | caagc-46588 |        0.018 |         0.542 |
| 29877 | caagc-46608 |        0.009 |         0.542 |
| 30169 | caagc-51532 |        0.010 |         0.542 |
| 30200 | caagc-51515 |        0.010 |         0.542 |
| 30134 | caagc-46048 |        0.009 |         0.543 |
| 30143 | caagc-51480 |        0.010 |         0.543 |
| 30416 | caagc-51542 |        0.012 |         0.544 |
| 29845 | caagc-46574 |        0.008 |         0.545 |
| 29903 | caagc-46622 |        0.009 |         0.545 |
| 30399 | caagc-51534 |        0.011 |         0.545 |
| 30409 | caagc-51538 |        0.011 |         0.545 |
| 30430 | caagc-46603 |        0.011 |         0.545 |
| 29853 | caagc-46589 |        0.008 |         0.546 |
| 30009 | caagc-46599 |        0.010 |         0.546 |
| 30159 | caagc-51534 |        0.010 |         0.546 |
| 30405 | caagc-46617 |        0.009 |         0.546 |
| 29821 | caagc-46577 |        0.010 |         0.547 |
| 29833 | caagc-46614 |        0.008 |         0.547 |
| 30365 | caagc-51522 |        0.011 |         0.547 |
| 30403 | caagc-46585 |        0.010 |         0.547 |
| 29831 | caagc-46623 |        0.009 |         0.548 |
| 29879 | caagc-46614 |        0.009 |         0.548 |
| 29904 | caagc-46594 |        0.008 |         0.549 |
| 30204 | caagc-51504 |        0.011 |         0.549 |
| 30216 | caagc-51483 |        0.014 |         0.549 |
